회사,bbl/day
Torrance Refinery (PBF Energy),"Torrance, 149,500"
Wilmington Asphalt Refinery (Valero),"Wilmington, 6,300"
Wilmington Refinery (Valero),"Wilmington, 85,000"
Commerce City Refinery (Suncor Energy),"Commerce City, 103,000"
Delaware City Refinery (Delaware City Refining Co LLC by PBF Energy),"Delaware City, 182,200"
Savannah Refinery (Nustar Asphalt Refining LLC by NuStar Energy),"Savannah, (Asphalt Refinery) 28,000"
"Kapolei Refinery (Par Hawaii Refining, LLC a subsidiary of Par Pacific Holdings)",0
Lemont Refinery (Citgo),"Lemont, 175,940"
Joliet Refinery (ExxonMobil),"Joliet, 238,600"
Robinson Refinery (Marathon Petroleum Company),"Robinson, 245,000"
Wood River Refinery (WRB Refining LP by Phillips 66/Cenovus,0
Whiting Refinery (BP Products Inc by BP),"Whiting, 430,000"
Mount Vernon Refinery (Countrymark Co-op),"Mount Vernon, 27,100"
Coffeyville Refinery (Coffeyville Resources by CVR Energy),"Coffeyville, 115,000"
El Dorado Refinery (HollyFrontier),"El Dorado, 138,000"
McPherson Refinery (CHS Inc.),"McPherson, 100,000"
Catlettsburg Refinery (Marathon Petroleum Company),"Catlettsburg, 277,000"
Somerset Refinery (Continental Refining Company),"Somerset, 5,500"
Alliance Refinery (Phillips 66),"Belle Chasse, 253,600"
Baton Rouge Refinery (ExxonMobil),"Baton Rouge, 540,000"
Chalmette Refinery (PBF Energy),"Chalmette, 189,000"
Convent Refinery (Shell Oil Company),"Convent, 235,000"
Cotton Valley Refinery (Calumet Specialty Products Partners),"Cotton Valley, 13,020"
Garyville Refinery (Marathon Petroleum Company),"Garyville, 556,000"
Krotz Springs Refinery (Delek),"Krotz Springs, 80,000"
Lake Charles Refinery (Calcasieu Refining),"Lake Charles, 80,000"
Lake Charles Refinery (Citgo),"Lake Charles, 427,800"
"Lake Charles Refinery,(Pelican Refining)","Lake Charles, 150,000"
Lake Charles Refinery (Phillips 66),"Westlake, 260,000"
Meraux Refinery (Valero),"Meraux, 125,000"
Norco Refinery (Shell Oil Company),"Norco, 238,000"
Port Allen Refinery (Placid Refining),"Port Allen, 60,000"
Princeton Refinery (Calumet Specialty Products Partners),"Princeton, 8,300"
Shreveport Refinery (Calumet Specialty Products Partners),"Shreveport, 57,000"
St. Charles Refinery (Valero),"Norco, 215,000"
St. Rose Refinery (Shell Oil Company,0
Marathon Detroit Refinery (Marathon Petroleum Company),"Detroit, 139,000"
Pine Bend Refinery (Flint Hills Resources by Koch Industries),"Rosemount, 339,000"
St. Paul Park Refinery (Marathon Petroleum Company),"St. Paul Park, 97,800"
Pascagoula Refinery (Chevron),"Pascagoula, 330,000"
Vicksburg Refinery (Ergon),"Vicksburg, 23,000"
Rogerslacy Refinery (Hunt Southland Refining),"Sandersville 11,000"
Greenville Refinery,0
Billings Refinery (Phillips 66),"Billings, 59,000"
Billings Refinery (ExxonMobil),"Billings, 60,000"
Calumet Montana Refining (Calumet Specialty Products Partners),"Great Falls, 24,500"
Laurel Refinery (CHS Inc.),"Laurel, 59,600"
Eagle Springs Refinery (Foreland Refining),"Ely, 2,000"
Bayway Refinery (Phillips 66),"Linden, 238,000"
Eagle Point Refinery (Sunoco),"Westville,[62] 145,000"
Paulsboro Asphalt Refinery (Axeon),"Paulsboro[63] 70,000"
Paulsboro Refinery (PBF Energy),"Paulsboro 160,000"
Perth Amboy Refinery (Chevron),"Perth Amboy  80,000"
Port Reading Refinery (Hess),"Port Reading  70,000"
Navajo Refinery (HollyFrontier),"Artesia, 102,000"
Bloomfield Refinery (Western Refining),"Bloomfield, 16,800"
Ciniza Refinery (Marathon Petroleum Company),"Gallup, 25,500"
Mandan Refinery (Marathon Petroleum),"Mandan, 73,860"
Dakota Prairie Refinery (Marathon Petroleum Company),"Dickinson, 19,000"
Canton Refinery (Marathon Petroleum),"Canton, 93,000"
Lima Refinery (Husky Energy),"Lima, 155,000"
Toledo Refinery (BP/Husky Energy),"Toledo, 152,000"
Toledo Refinery (PBF) (PBF Energy) Toledo,"180,000"
Ardmore Refinery (Valero),"Ardmore, 86,000"
Ponca City Refinery (Phillips 66) Ponca City,"200,000"
Tulsa Refinery East & West (HollyFrontier),"Tulsa, 155,300"
Wynnewood Refinery (Wynnewood Refining by CVR Energy) Wynnewood,"70,000"
Bradford Refinery (American Refining Group),"Bradford, 11,000"
Marcus Hook Refinery (Sunoco),"Marcus Hook, 175,000"
Philadelphia Refinery (Philadelphia Energy Solutions by Carlyle Group),"Philadelphia 335,000"
Trainer Refinery (Monroe Energy by Delta Air Lines),"Trainer, 185,000"
Warren Refinery,0
Wamsutta Oil Refinery (historical),0
Memphis Refinery (Valero),"Memphis 180,000"
Baytown Refinery (ExxonMobil),"Baytown, 560,500"
Big Spring Refinery (Delek),"Big Spring, 70,000"
Beaumont Refinery (ExxonMobil),"Beaumont, 344,600"
Borger Refinery (WRB Refining LP by Phillips 66/Cenovus,"Borger 146,000"
Corpus Christi Complex (Flint Hills Resources),"Corpus Christi, 290,000"
Corpus Christi Refinery (Citgo),"Corpus Christi, 157,500"
Corpus Christi East & West Refinery (Valero),"Corpus Christi, 205,000"
Deer Park Refinery (Shell Oil / PEMEX),"Deer Park, 316,600"
El Paso Refinery (Marathon Petroleum),"El Paso, 122,000"
Galveston Bay Refinery (Marathon Petroleum),"Texas City, 585,000"
Houston Refinery (LyondellBasell),"Houston, 263,776"
Houston Refinery (Valero),"Houston, 100,000"
Independent Refinery (Stratnor),"Houston, 100,000"
McKee Refinery (Valero),"Sunray, 200,000"
Nixon Refinery (Blue Dolphin Energy Company) Nixon,"15,000"
Pasadena Refinery (Chevron),"Pasadena, 100,000"
Port Arthur Refinery (Total S.A.),"Port Arthur, 225,500"
Port Arthur Refinery (Motiva Enterprises),"Port Arthur, 636,500"
Port Arthur Refinery (Valero),"Port Arthur, 335,000"
San Antonio Refinery (Calumet Specialty Products Partners),"San Antonio, 16,800"
Sweeny Refinery (Phillips 66),"Sweeny, 247,000"
Texas City Refinery (Valero),"Texas City Nelson Complexity Index 11.1,[69] 225,000"
Sullivan Three Rivers Refinery (Valero),"Three Rivers, 89,000"
Tyler Refinery (Delek),"Tyler, 75,000"
"North Salt Lake Refinery (Big West Oil, a subsidiary of FJ Management)","North Salt Lake, 35,000"
Salt Lake City Refinery (Chevron),"Salt Lake City, 50,000"
Salt Lake City Refinery (Marathon Petroleum),"Salt Lake City, 57,500"
Woods Cross Refinery (HollyFrontier),"Woods Cross, 25,050"
Woods Cross Refinery (Silver Eagle Refining),"Woods Cross, 15,000"
Shell Anacortes Refinery (Shell Oil),"Anacortes, 145,000"
Marathon Anacortes Refinery (Marathon Petroleum),"Anacortes, 120,000"
Cherry Point Refinery (BP),"Blaine, 225,000"
Ferndale Refinery (Phillips 66),"Ferndale, 101,000"
Tacoma Refinery (Par Pacific Holdings),"Tacoma, 40,700"
Newell Refinery (Ergon),"Newell, 22,300"
Superior Refinery (Husky Energy),"Superior, 38,000"
Cheyenne Refinery (HollyFrontier),"Cheyenne, WY, 52,000"
Douglas Refinery (Genesis Energy),"Douglas, WY, 3,800"
Evanston Refinery (Silver Eagle Refining),"Evanston, WY, 3,000"
"Newcastle Refinery (Wyoming Refining Company, LLC a subsidiary of Par Pacific Holdings)","Newcastle, WY, 18,000"
Sinclair Wyoming Refinery (Sinclair Oil),"Sinclair, WY, 85,000"
Sinclair Casper Refinery (Sinclair Oil),"Evansville, WY, 25,000"
St Croix Refinery (HOVENSA),"494,000"
"British Petroleum has mou intention to operate refinery at 300,000 bbl/d (48,000 m3/d)",값 따로 넣어주기
Kurnell Refinery (Caltex),"124,500"
Clyde Refinery (Royal Dutch Shell),"100,000"
Matraville Refinery (Total S.A.),"45,000"
Geelong Refinery (Vitol),"130,000"
Altona Refinery (ExxonMobil),"about 75,000"
Westernport Refinery (BP),"35,000"
Bulwer Island Refinery (BP),"Bulwer Island 90,000"
Lytton Refinery (Caltex),"104,000"
Eromanga Refinery (IOR Energy),"1,200"
Port Stanvac Refinery (ExxonMobil),"100,000"
Kwinana Refinery (BP),"Kwinana 138,000"
Marsden Point Oil Refinery (Refining NZ),"Whangarei 96,000"
"InterOil Refinery, Port Moresby (Puma Energy)","32,500"
La Plata Refinery (YPF),"189,000"
Buenos Aires Refinery (Royal Dutch Shell),"110,000"
Luján de Cuyo Refinery (YPF),"105,500"
Esso Campana Refinery (Axion Energy),"84,500"
San Lorenzo Refinery (Refisan S.A.),"38,000"
Plaza Huincul Refinery (YPF),"25,000"
Campo Duran Refinery (Refinor),"32,000"
Bahía Blanca Refinery (Petrobras),"28,975"
Avellaneda Refinery (Destilerías Argentinas de Petróleos,"DAPSA) 1,300"
Gualberto Villarael Cochabamba Refinery (YPFB),"40,000"
Guillermo Elder Bell Santa Cruz Refinery (YPFB),"20,000"
Carlos Montenegro Sucre Refinery (Refisur SA),"3,000"
"Reficruz 2,000 bbl/d (320 m3/d)",값 따로 넣어주기
"Refinería Oro Negro SA 2,000 bbl/d (320 m3/d)",값 따로 넣어주기
REFAP (Petrobras),"Canoas 201,000"
RECAP (Petrobras),"Mauá 53,500"
REPLAN (Petrobras),"Paulínia 415,000"
REVAP (Petrobras),"São José dos Campos  251,500"
RPBC (Petrobras),"Cubatão 170,000"
REDUC (Petrobras),"Duque de Caxias, Rio de Janeiro 242,000"
REMAN (Petrobras),"Manaus 46,000"
Lubnor (Petrobras),"Fortaleza 82,000"
REGAP (Petrobras),"Betim 151,000"
REPAR (Petrobras),"Araucária 220,000"
RLAM (Petrobras),"São Francisco do Conde 280,000"
RPCC (Petrobras),"Guamaré 35,000"
RNEST (Petrobras),"Ipojuca 100,000"
Refinaria Ipiranga (Refinaria Riograndense),"Pelotas 17,000"
Refinaria Manguinhos (Grupo Peixoto de Castro ),"Rio de Janeiro 13,800"
DAX Oil (Dax-Oil),"Camaçari 2,100"
Univen (Univen Petróleo),"Itupeva 6,900"
BioBio Refinery (Empresa Nacional del Petróleo),"113,000"
Aconcagua Concon Refinery (Empresa Nacional del Petróleo),"97,650"
Gregorio Refinery (Empresa Nacional del Petróleo),"14,750"
Barrancabermeja-Santander Refinery (Ecopetrol),"252,000"
Cartagena Refinery (Reficar S.A.),"165,000"
Apiay Refinery (Ecopetrol),"2,250"
Orito Refinery (Ecopetrol),"1,800"
Tibu Refinery (Ecopetrol),"1,800"
Esmeraldas Refinery (Petroecuador),"110,000"
La Libertad Refinery (Petroecuador),"45,000"
Shushufindi Refinery (Petroecuador),"20,000"
Villa Elisa Refinery (Petropar),"7,500"
"Refinería La Pampilla Ventanilla/Lima (Repsol) 102,000 bbl/d (16,200 m3/d)",0
Refinería de Talara (Petroperú),"65,000"
Refinería Iquitos Loreto (Petroperú),"12,000"
Refinería Conchan (Petroperú),"15,000"
Refinería Pucallpa (Maple Gas),"3,250"
Refinería El Milagro (Petroperú),"1,500"
Refinería Shiviyacu (Pluspetrol),"2,000"
Staatsolie Refinery (Staatsolie),"15,000"
La Teja Montevideo Refinery (ANCAP),"40,000"
Paraguana Refinery Complex (CRP),0
Puerto La Cruz Refinery (PDVSA),"200,000"
El Palito Refinery (PDVSA),"140,000"
San Roque Refinery (PDVSA),"5,200"
"Upgraders (Extra Heavy Oil Joint Ventures with PDVSA at Jose)
Petro San Felix, originally Petrozuata (PDVSA) 140,000 bbl/d (22,000 m3/d) (start-up 2000)
Petropiar (PDVSA and Chevron)","originally Ameriven  (Phillips 66, ChevronTexaco, and PDVSA) 190,000"
List of oil pipelines,값 따로 넣어주기
List of natural gas pipelines,값 따로 넣어주기
List of oil refineries in India,값 따로 넣어주기
Energy Information Administration: Petroleum Refining and Processing Data,값 따로 넣어주기
Information About Asiste Pemex Login and refineries,값 따로 넣어주기
